-1	19.76	-1	-1	-1	11.222	16.227	-1	-1	8.07	-1	-1	18.151	
-1	-1	19.734	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	22.29	-1	17.864	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	13.381	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	15.146	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	13.074	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18.226	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13.847	-1	
-1	-1	-1	-1	18.871	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
